MMSI,Vessel_Name,Timestamp,Latitude,Longitude,Speed_Knots,Heading,Vessel_Type
419601002,Tug KPL-2,2017-01-26 23:56:00,13.24178,80.30406,3.8,115.3,Tug
419201003,MV Ennore Express,2017-01-27 00:00:00,13.2552,80.31975,0.8,0.7,Cargo
419201004,MV Coastal Glory,2017-01-27 00:00:00,13.26137,80.31509,0.2,1.5,Cargo
419201006,MV KPL Carrier,2017-01-27 00:00:00,13.24932,80.32382,0.1,89.4,Cargo
419201007,MV Sakthi Pride,2017-01-27 00:00:00,13.25191,80.3166,0,0.3,Cargo
419301001,MT Sanmar Spirit,2017-01-27 00:00:00,13.24434,80.33477,0.7,90.5,Tanker
419301003,MT Coromandel King,2017-01-27 00:00:00,13.23665,80.33945,0.1,357.0,Tanker
419301006,MT Triton,2017-01-27 00:00:00,13.26317,80.31082,0,357.1,Tanker
419201001,MV Vishakha Star,2017-01-27 00:00:00,13.17874,80.46983,0,359.1,Cargo
419201002,MV APJ Kiran,2017-01-27 00:00:00,13.11963,80.49885,0.4,359.8,Cargo
419301002,MT Chennai Petro,2017-01-27 00:00:00,13.07914,80.53106,0.2,356.6,Tanker
419301004,MT POL Voyager,2017-01-27 00:00:00,13.22154,80.42084,0.3,2.4,Tanker
419301007,MT Bay Tanker,2017-01-27 00:00:00,13.14988,80.45999,0,359.6,Tanker
538301001,MT Gulf Carrier,2017-01-27 00:00:00,13.04945,80.54905,0.1,358.4,Tanker
419601003,Pilot KPL,2017-01-27 00:01:00,13.24211,80.32476,4.0,110.8,Tug
419601004,Tug Ennore,2017-01-27 00:01:00,13.2388,80.27779,4.3,297.4,Tug
419601001,Tug KPL-1,2017-01-27 00:02:00,13.22867,80.30198,4.4,240.9,Tug
419301006,MT Triton,2017-01-27 00:04:00,13.26662,80.31067,0.1,358.0,Tanker
419201003,MV Ennore Express,2017-01-27 00:05:00,13.25474,80.31848,0.3,1.9,Cargo
419201006,MV KPL Carrier,2017-01-27 00:05:00,13.24775,80.3255,0.6,92.2,Cargo
419301001,MT Sanmar Spirit,2017-01-27 00:05:00,13.24216,80.33401,0.6,90.0,Tanker
419301003,MT Coromandel King,2017-01-27 00:05:00,13.23591,80.34032,0,359.6,Tanker
419301002,MT Chennai Petro,2017-01-27 00:05:00,13.0796,80.53042,0.5,0.9,Tanker
419301004,MT POL Voyager,2017-01-27 00:05:00,13.21961,80.41801,0,358.5,Tanker
419201004,MV Coastal Glory,2017-01-27 00:06:00,13.26089,80.31504,0.0,358.3,Cargo
419201007,MV Sakthi Pride,2017-01-27 00:06:00,13.25247,80.31931,0,359.3,Cargo
419201001,MV Vishakha Star,2017-01-27 00:06:00,13.18059,80.46988,0.2,359.5,Cargo
419301007,MT Bay Tanker,2017-01-27 00:06:00,13.15157,80.46135,0.1,358.8,Tanker
419201002,MV APJ Kiran,2017-01-27 00:07:00,13.12186,80.49954,0.3,0.6,Cargo
538301001,MT Gulf Carrier,2017-01-27 00:07:00,13.04966,80.54904,0,359.2,Tanker
419201003,MV Ennore Express,2017-01-27 00:10:00,13.25689,80.32063,0.1,357.0,Cargo
419201007,MV Sakthi Pride,2017-01-27 00:10:00,13.25265,80.31757,0,357.9,Cargo
419301006,MT Triton,2017-01-27 00:10:00,13.26348,80.31015,0,357.6,Tanker
419201004,MV Coastal Glory,2017-01-27 00:11:00,13.26089,80.31477,0.6,358.0,Cargo
419201006,MV KPL Carrier,2017-01-27 00:11:00,13.24936,80.32483,0.1,91.8,Cargo
419301001,MT Sanmar Spirit,2017-01-27 00:11:00,13.24542,80.33706,0.5,88.1,Tanker
419301003,MT Coromandel King,2017-01-27 00:11:00,13.2373,80.34092,0.4,358.0,Tanker
419201001,MV Vishakha Star,2017-01-27 00:11:00,13.1811,80.46983,0,357.4,Cargo
419301004,MT POL Voyager,2017-01-27 00:11:00,13.21912,80.4199,0.4,359.9,Tanker
419301007,MT Bay Tanker,2017-01-27 00:11:00,13.14849,80.46041,0.0,359.8,Tanker
419301002,MT Chennai Petro,2017-01-27 00:12:00,13.07987,80.53187,0.3,1.1,Tanker
538301001,MT Gulf Carrier,2017-01-27 00:12:00,13.05275,80.54968,0,358.0,Tanker
419201002,MV APJ Kiran,2017-01-27 00:14:00,13.12052,80.50019,0,1.6,Cargo
419201003,MV Ennore Express,2017-01-27 00:15:00,13.25663,80.32032,0,2.7,Cargo
419201006,MV KPL Carrier,2017-01-27 00:15:00,13.24779,80.32412,0.1,89.4,Cargo
419201007,MV Sakthi Pride,2017-01-27 00:15:00,13.25287,80.3183,0,355.6,Cargo
419301003,MT Coromandel King,2017-01-27 00:15:00,13.23822,80.34001,0.2,1.1,Tanker
419301006,MT Triton,2017-01-27 00:16:00,13.26412,80.3095,0,0.7,Tanker
419201001,MV Vishakha Star,2017-01-27 00:16:00,13.17897,80.46925,0.3,2.2,Cargo
419201004,MV Coastal Glory,2017-01-27 00:17:00,13.26162,80.31519,0.7,3.7,Cargo
419301001,MT Sanmar Spirit,2017-01-27 00:17:00,13.24572,80.33421,0.2,90.9,Tanker
419301004,MT POL Voyager,2017-01-27 00:17:00,13.21872,80.42034,0,358.0,Tanker
419301002,MT Chennai Petro,2017-01-27 00:18:00,13.08143,80.53025,0,0.7,Tanker
419301007,MT Bay Tanker,2017-01-27 00:18:00,13.14863,80.45933,0,2.5,Tanker
